iter	Passed	Remaining
0	3	359
1	7	351
2	10	334
3	12	309
4	16	305
5	20	324
6	24	329
7	28	329
8	32	326
9	36	327
10	39	321
11	42	309
12	44	297
13	46	285
14	48	273
15	50	264
16	52	254
17	53	243
18	54	233
19	56	224
20	57	215
21	58	207
22	59	199
23	60	192
24	61	185
25	63	179
26	64	174
27	65	167
28	66	162
29	67	156
30	68	151
31	68	146
32	69	141
33	70	137
34	71	132
35	72	128
36	73	125
37	74	121
38	75	117
39	76	114
40	77	110
41	77	107
42	78	104
43	79	101
44	80	98
45	81	95
46	82	93
47	83	90
48	84	88
49	85	85
50	86	83
51	87	80
52	88	78
53	89	76
54	90	73
55	90	71
56	91	69
57	93	67
58	94	65
59	95	63
60	96	61
61	97	59
62	98	57
63	99	55
64	100	53
65	100	52
66	101	50
67	102	48
68	103	46
69	104	44
70	105	43
71	106	41
72	107	39
73	108	38
74	109	36
75	110	34
76	111	33
77	112	31
78	113	30
79	114	28
80	115	27
81	116	25
82	116	23
83	117	22
84	118	20
85	119	19
86	120	18
87	121	16
88	122	15
89	123	13
90	124	12
91	125	10
92	126	9
93	127	8
94	128	6
95	129	5
96	130	4
97	130	2
98	131	1
99	132	0
